"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 12 20:29:21 SAMT 2025","Sat Jul 12 20:29:25 SAMT 2025","3813","","UserRegistrationApiTest","","UserRegistrationApiTest","testDuplicateRegistration","Регистрация с существующим email","Проверка ошибки при регистрации существующего пользователя"
"failed","Sat Jul 12 20:28:19 SAMT 2025","Sat Jul 12 20:28:22 SAMT 2025","3374","","Тесты создания заказов","","OrderCreationTest","testCreateOrderWithAuth","Создание заказа с авторизацией",""
"passed","Sat Jul 12 20:29:15 SAMT 2025","Sat Jul 12 20:29:21 SAMT 2025","6173","","UserRegistrationApiTest","","UserRegistrationApiTest","testSuccessfulRegistration","testSuccessfulRegistration","Проверка успешной регистрации"
"passed","Sat Jul 12 20:28:42 SAMT 2025","Sat Jul 12 20:29:01 SAMT 2025","18516","","UserLoginTest","","UserLoginTest","testLoginWithInvalidCredentials","Вход с неверными учетными данными",""
"passed","Sat Jul 12 20:29:01 SAMT 2025","Sat Jul 12 20:29:15 SAMT 2025","14066","","UserRegistrationApiTest","","UserRegistrationApiTest","testRegistrationWithMissingFields","Регистрация без обязательных полей","Проверка ошибки при регистрации без обязательных полей"
"passed","Sat Jul 12 20:28:28 SAMT 2025","Sat Jul 12 20:28:32 SAMT 2025","3840","","UserLoginTest","","UserLoginTest","testLoginWithoutPassword","testLoginWithoutPassword","Вход без пароля"
"passed","Sat Jul 12 20:28:02 SAMT 2025","Sat Jul 12 20:28:12 SAMT 2025","9648","","Тесты создания заказов","","OrderCreationTest","testCreateOrderWithoutIngredients","Создание заказа без ингредиентов",""
"passed","Sat Jul 12 20:28:36 SAMT 2025","Sat Jul 12 20:28:42 SAMT 2025","5676","","UserLoginTest","","UserLoginTest","testLoginWithoutEmail","testLoginWithoutEmail","Вход без email"
"failed","Sat Jul 12 20:28:12 SAMT 2025","Sat Jul 12 20:28:19 SAMT 2025","6903","","Тесты создания заказов","","OrderCreationTest","testCreateOrderWithoutAuth","Создание заказа без авторизации",""
"passed","Sat Jul 12 20:28:32 SAMT 2025","Sat Jul 12 20:28:36 SAMT 2025","4149","","UserLoginTest","","UserLoginTest","testSuccessfulLogin","testSuccessfulLogin","Успешный вход под существующим пользователем"
"passed","Sat Jul 12 20:28:22 SAMT 2025","Sat Jul 12 20:28:28 SAMT 2025","6000","","Тесты создания заказов","","OrderCreationTest","testCreateOrderWithInvalidIngredients","Создание заказа с неверным хешем ингредиентов",""
